Epoch,TrainLoss,ValLoss,TestLoss,ValAcc,TestAcc
1,0.6558379030227661,0.7061185371875763,0.6948960399627686,0.52,0.56
2,0.625706045627594,0.5851037979125977,0.6063522601127624,0.68,0.655
3,0.5873607194423676,0.5413350224494934,0.6115465450286866,0.77,0.695
4,0.5532847034931183,0.503845386505127,0.6135757005214691,0.73,0.675
5,0.5709663009643555,0.5713598489761352,0.6140595650672913,0.73,0.695
6,0.5625697481632232,0.5401411604881287,0.5622378516197205,0.74,0.715
7,0.538394525051117,0.5595910263061523,0.554622414112091,0.71,0.72
8,0.5479455149173736,0.5015214300155639,0.5547104358673096,0.73,0.68
9,0.5304164528846741,0.5820444011688233,0.5937224054336547,0.69,0.66
10,0.5439613294601441,0.5609410953521728,0.5799999952316284,0.71,0.72
11,0.5351924765110015,0.5116521620750427,0.5872697925567627,0.75,0.68
12,0.5037675333023072,0.47689175844192505,0.5466663575172425,0.75,0.665
13,0.52907989859581,0.47194522380828857,0.5588430070877075,0.77,0.655
14,0.5248013579845429,0.5220760536193848,0.5535285234451294,0.74,0.72
15,0.5448227667808533,0.5642325758934021,0.5688783550262451,0.69,0.655
16,0.5031682634353638,0.4983287000656128,0.5512353467941284,0.75,0.715
17,0.5239675104618072,0.5403200697898864,0.5641984164714813,0.69,0.69
18,0.5214603435993195,0.54585768699646,0.6062865960597992,0.69,0.665
19,0.5007691168785096,0.5426446819305419,0.5584832620620728,0.76,0.72
20,0.4940528643131256,0.5418171048164367,0.5306695914268493,0.71,0.73
21,0.5078739976882934,0.5379992055892945,0.563320106267929,0.73,0.7
22,0.5014363014698029,0.5499143028259277,0.5677526807785034,0.72,0.685
23,0.4712924909591675,0.5193614006042481,0.5523058176040649,0.72,0.68
24,0.47041534543037417,0.5009925317764282,0.5266544580459595,0.72,0.72
25,0.48566520810127256,0.5119723272323609,0.5693774795532227,0.71,0.68
26,0.5045411384105682,0.5036330127716064,0.537663254737854,0.73,0.705
27,0.5047588813304901,0.5033019614219666,0.5433461260795593,0.77,0.715
28,0.5150965571403503,0.5263498377799988,0.6157748436927796,0.73,0.655
29,0.48954068660736083,0.5318247628211975,0.6086420178413391,0.65,0.685
30,0.49750236511230467,0.5842815804481506,0.6790484178066254,0.7,0.63
31,0.4937969899177551,0.4920969128608704,0.5540780973434448,0.76,0.71
32,0.4987050354480743,0.49898221492767336,0.5873524618148803,0.72,0.695
33,0.4916254818439484,0.5014831042289734,0.5354737854003906,0.72,0.73
34,0.5297533321380615,0.5786418175697327,0.6028276133537293,0.73,0.655
35,0.4998597431182861,0.5386014413833619,0.5850730490684509,0.74,0.66
36,0.48723665475845335,0.49525402545928954,0.5953647112846374,0.73,0.655
37,0.49785287499427794,0.4965574908256531,0.5574745893478393,0.73,0.695
38,0.46872484087944033,0.5047341108322143,0.5743848419189453,0.74,0.68
39,0.4834760880470276,0.49622124671936035,0.7855264091491699,0.75,0.68
40,0.5554255211353302,0.5346133971214294,0.5825799822807312,0.74,0.68
41,0.5289462983608246,0.49936273574829104,0.5611808919906616,0.74,0.69
42,0.5318469047546387,0.4993309617042542,0.5836047983169556,0.76,0.695
43,0.5222322344779968,0.5502988529205323,0.5294776582717895,0.72,0.735
44,0.533953046798706,0.5106072616577149,0.5668953275680542,0.73,0.715
