Epoch,TrainLoss,ValLoss,TestLoss,ValAcc,TestAcc
1,0.6675681352615357,0.6525206398963929,0.6674572730064392,0.6,0.55
2,0.6186138534545899,0.5480818653106689,0.45677133321762087,0.74,0.765
3,0.5785045552253724,0.6373132276535034,0.511017918586731,0.67,0.735
4,0.5632973802089691,0.6198366844654083,0.5423890769481658,0.67,0.725
5,0.6010346388816834,0.5887422084808349,0.5460315942764282,0.78,0.73
6,0.5557979369163513,0.6189815711975097,0.48635521411895755,0.69,0.77
7,0.5634792828559876,0.56091956615448,0.5201805019378662,0.71,0.72
8,0.5238070118427277,0.6593657207489013,0.4972152376174927,0.67,0.73
9,0.5688939046859741,0.5976636099815369,0.48496835708618163,0.7,0.775
10,0.5433730673789978,0.6027347159385681,0.5617451906204224,0.73,0.75
11,0.5743179702758789,0.556396198272705,0.5365958321094513,0.7,0.725
12,0.5447986149787902,0.6016641974449157,0.561144049167633,0.65,0.69
13,0.5427647924423218,0.5728712368011475,0.5432299447059631,0.67,0.665
14,0.5353354442119599,0.7327135109901428,0.78986168384552,0.72,0.755
15,0.5116001486778259,0.5945149660110474,0.5606399428844452,0.68,0.755
16,0.5057836818695068,0.5382831823825837,0.4856483650207519,0.71,0.765
17,0.5391773343086242,0.5573401188850403,0.534237334728241,0.73,0.71
18,0.5171183848381042,0.5815719413757324,0.5244699311256409,0.71,0.705
19,0.5196975231170654,0.5761715292930603,0.5175307834148407,0.72,0.735
20,0.5059071898460388,0.5869196200370789,0.48537317395210267,0.63,0.77
21,0.517748396396637,0.5444716000556946,0.5198840236663819,0.71,0.73
22,0.48649186849594117,0.5167023468017579,0.48608998775482176,0.75,0.75
23,0.5002130138874054,0.5967673349380493,0.4666045904159546,0.71,0.765
24,0.48241978645324707,0.5611388373374939,0.5204278850555419,0.69,0.67
25,0.47367480158805847,0.5771246600151062,0.5001727628707886,0.72,0.735
26,0.49014102935791015,0.658600299358368,0.5008092522621155,0.69,0.71
27,0.47624587774276733,0.5901775360107422,0.49032662630081175,0.73,0.71
28,0.46601158380508423,0.5172099316120148,0.5574027848243713,0.74,0.71
29,0.5196733164787293,0.5466534566879272,0.5334191727638244,0.71,0.685
30,0.49762754201889037,0.5108947467803955,0.8693999528884888,0.74,0.71
31,0.5388894140720367,0.49482768297195434,0.5327519679069519,0.8,0.725
32,0.49986704826354983,0.5343948388099671,0.5140924239158631,0.71,0.72
33,0.4951385748386383,0.5799615621566773,0.5251322698593139,0.72,0.735
34,0.4865139412879944,0.5412612128257751,0.4586814200878143,0.69,0.77
35,0.4849667811393738,0.6825091958045959,0.6993906974792481,0.66,0.645
36,0.455208740234375,0.5407601106166839,0.5346097087860108,0.73,0.74
37,0.4689508938789368,0.6029208588600159,0.4996013855934143,0.68,0.745
38,0.47237986922264097,0.5417403149604797,0.5056050634384155,0.76,0.76
39,0.46623246908187865,0.5188353276252746,0.5787795400619506,0.77,0.7
40,0.44836461067199707,0.5752214694023132,0.46325863361358643,0.73,0.75
41,0.4526670157909393,0.5380709743499756,0.5254342389106751,0.72,0.77
42,0.42574169993400574,0.5043063354492188,0.559210615158081,0.73,0.72
43,0.46572253584861756,0.5358815622329712,0.5315086150169372,0.71,0.74
44,0.4429322993755341,0.5451628994941712,0.5538131844997406,0.71,0.745
45,0.4915926480293274,0.5569673442840576,0.5094083499908447,0.77,0.755
46,0.4935540688037872,0.5733383667469024,0.46070971846580505,0.69,0.79
47,0.48453537225723264,0.6478503775596619,0.5712020325660706,0.65,0.685
48,0.5299670600891113,0.5849575304985046,0.5866462898254394,0.66,0.7
49,0.51591024518013,0.5620207440853119,0.5940119123458862,0.72,0.715
50,0.5113996684551239,0.6116744434833526,0.5476328372955322,0.68,0.75
51,0.481060299873352,0.5471421325206757,0.5285049033164978,0.69,0.73
52,0.4794691014289856,0.5463433933258056,0.5617241525650024,0.72,0.74
53,0.4613848125934601,0.6184328150749206,0.48693559169769285,0.72,0.76
54,0.47640024781227114,0.5701289200782775,0.5072114729881286,0.69,0.755
55,0.46865218043327334,0.5077974176406861,0.5099693608283996,0.77,0.785
