Epoch,TrainLoss,ValLoss,TestLoss,ValAcc,TestAcc
1,0.6527947020530701,0.823297290802002,0.8065207290649414,0.68,0.68
2,0.6107977795600891,0.6127046012878418,0.6055470538139344,0.57,0.65
3,0.5645014464855194,0.81147127866745,0.9571535396575928,0.63,0.635
4,0.5999334466457367,0.6095832443237305,0.5888008618354797,0.65,0.65
5,0.5633596789836883,0.5999464607238769,0.6054811263084412,0.64,0.655
6,0.5603366172313691,0.7158374834060669,0.7029120588302612,0.61,0.62
7,0.56812983751297,0.596038180589676,0.6111922407150269,0.7,0.68
8,0.5175227212905884,0.6231001615524292,0.6284667110443115,0.68,0.675
9,0.5383080852031707,0.6034100532531739,0.6478126406669616,0.67,0.645
10,0.528515694141388,0.5717914724349975,0.614575309753418,0.64,0.615
11,0.5144968456029893,0.6683315348625183,0.7593527746200561,0.68,0.655
12,0.48133137822151184,0.5932125568389892,0.6183768725395202,0.68,0.64
13,0.5065124166011811,0.5804417753219604,0.6338274335861206,0.65,0.645
14,0.5308648002147675,0.5899559545516968,0.6138253211975098,0.65,0.675
15,0.46060542941093446,0.611269142627716,0.6410870695114136,0.65,0.645
16,0.49078785538673403,0.6661090183258057,0.717442626953125,0.64,0.67
17,0.47631853222846987,0.615952799320221,0.5873135781288147,0.66,0.645
18,0.4752018904685974,0.5911481690406799,0.6165417432785034,0.72,0.665
19,0.49177761435508727,0.6019357752799988,0.6485448622703552,0.68,0.62
20,0.5170523858070374,0.5914472603797912,0.61034677028656,0.63,0.675
21,0.46843100666999815,0.6107233738899231,0.6537606048583985,0.7,0.665
22,0.4764985489845276,0.6183707857131958,0.6010603523254394,0.69,0.685
23,0.4827123475074768,0.5967072534561157,0.5793525791168213,0.61,0.63
24,0.48887112259864807,0.8101210975646973,0.8755429601669311,0.64,0.655
25,0.47448734283447264,0.6016247820854187,0.6531207132339477,0.65,0.66
26,0.45475762844085693,0.6620894646644593,0.7289957237243653,0.67,0.68
27,0.4615196681022644,0.6269353771209717,0.5974403166770935,0.6,0.63
28,0.49153583765029907,0.5692594003677368,0.6013657903671265,0.68,0.65
29,0.45432804942131044,0.601499103307724,0.5996522402763367,0.69,0.68
30,0.4710728967189789,0.652241337299347,0.6650308799743653,0.65,0.675
31,0.42889840304851534,0.5981582832336426,0.6048444175720215,0.69,0.635
32,0.4259099590778351,0.5643307971954346,0.557767367362976,0.68,0.655
33,0.44715488970279693,0.5888629007339478,0.5792652535438537,0.64,0.655
34,0.4823282265663147,0.5494065523147583,0.5641105937957763,0.69,0.67
35,0.4355129885673523,0.581643054485321,0.575518388748169,0.69,0.67
36,0.43470639824867247,0.5607904005050659,0.5853525090217591,0.7,0.695
37,0.475749716758728,0.5618030214309693,0.5467868137359619,0.68,0.645
38,0.4404628014564514,0.6156155610084534,0.6066148710250855,0.72,0.685
39,0.4533999848365784,0.5790480422973633,0.5874580907821655,0.71,0.66
40,0.4436661207675934,0.60957399725914,0.6217438673973084,0.69,0.67
41,0.4285089552402496,0.7645753216743469,0.7479223728179931,0.63,0.655
42,0.4050194728374481,0.6094079613685608,0.6197049236297607,0.68,0.66
43,0.4252548956871033,0.5388509011268616,0.5997663831710816,0.71,0.69
44,0.43779771208763124,0.6420786190032959,0.5725740718841553,0.72,0.675
45,0.4525461423397064,0.6264024400711059,0.6199455523490905,0.62,0.65
46,0.41825869083404543,0.6477075695991517,0.6711096668243408,0.68,0.64
47,0.42514577627182004,0.6627615094184875,0.6523362398147583,0.66,0.645
48,0.4424874687194824,0.654081048965454,0.6636116433143616,0.69,0.63
49,0.4365059030056,0.6777454435825347,0.682967529296875,0.7,0.665
50,0.43495551705360413,0.5961226058006287,0.6239454317092895,0.65,0.625
51,0.4732985234260559,0.5845324420928955,0.5776272201538086,0.7,0.69
52,0.44442895650863645,0.5865450549125671,0.6559850978851318,0.69,0.69
53,0.45798560976982117,0.6051949667930603,0.6667079043388366,0.68,0.655
54,0.4285652506351471,0.5446334898471832,0.6038002157211304,0.69,0.67
55,0.4188806438446045,0.6507987403869628,0.6900183629989624,0.65,0.645
56,0.44665657937526704,0.5565936708450318,0.5680915880203247,0.64,0.665
57,0.44273185133934023,0.7458553266525269,0.7850983715057374,0.66,0.65
58,0.4424306035041809,0.6502710735797882,0.6487982821464539,0.67,0.665
59,0.452574782371521,0.5794698691368103,0.5646455907821655,0.68,0.665
60,0.40415251612663267,0.5572130393981933,0.6373709464073181,0.7,0.685
61,0.4592454355955124,0.5429113185405732,0.5568492889404297,0.7,0.66
62,0.42459906339645387,0.5545245838165284,0.6062222242355346,0.67,0.64
63,0.413901150226593,0.5339653533697128,0.582331862449646,0.72,0.665
64,0.44115570664405823,0.6023506987094879,0.6107701396942139,0.7,0.685
65,0.4167941969633102,0.6134705698490143,0.6409401869773865,0.7,0.72
66,0.44624494910240176,0.534277241230011,0.5489843034744263,0.76,0.68
67,0.4072589164972305,0.6484059393405914,0.8051156234741211,0.65,0.65
68,0.4765303659439087,0.6310877060890198,0.6271997117996215,0.68,0.69
69,0.46335970878601074,0.5397606062889099,0.5820516800880432,0.74,0.7
70,0.4448311293125153,0.596732816696167,0.6204311203956604,0.69,0.655
71,0.44001007795333863,0.5750644516944885,0.5701423740386963,0.73,0.71
72,0.47806472539901734,0.5884687089920044,0.6165031385421753,0.7,0.65
73,0.5547372579574585,0.6028155016899109,1.9527334475517273,0.69,0.655
74,0.4886743199825287,0.6814492607116699,6.6968277549743656,0.67,0.665
75,0.49189738392829896,0.5747381591796875,5.266660723686218,0.68,0.66
76,0.4530808770656586,0.5674663591384888,0.5949361228942871,0.64,0.65
77,0.46426573634147644,0.5846728408336639,0.6018575930595398,0.71,0.69
78,0.4354857587814331,0.5723540496826172,0.5841055917739868,0.7,0.68
79,0.43865899085998533,0.6276773142814637,0.6120329236984253,0.67,0.68
80,0.43332155585289,0.6524981904029846,0.6960134601593018,0.71,0.645
81,0.4460663092136383,0.6151282167434693,0.6435699105262757,0.66,0.655
82,0.4504771268367767,0.6494578003883362,0.6769209933280945,0.7,0.665
83,0.4155178964138031,0.6779430055618286,0.735044116973877,0.71,0.625
84,0.41044038653373716,0.5581558609008789,0.5704598379135132,0.71,0.7
85,0.42935068905353546,0.6178760051727294,0.677260491847992,0.65,0.645
86,0.44357609391212466,0.6138085460662842,0.6329746198654175,0.66,0.67
87,0.4134332585334778,0.5825930893421173,0.6856404232978821,0.72,0.695
88,0.4116188979148865,0.5937249517440796,0.6558281803131103,0.71,0.665
89,0.42590543389320373,0.6313360095024109,0.7059877097606659,0.69,0.685
90,0.42201921343803406,0.553747125864029,0.6197548913955688,0.72,0.695
91,0.44225955843925474,0.6398416805267334,0.6868325138092041,0.66,0.65
92,0.41101559400558474,0.6661441254615784,0.6065980005264282,0.74,0.675
93,0.40019036412239073,0.7499298703670502,0.7198446369171143,0.66,0.685
94,0.4036027443408966,0.6854764556884766,0.6643300437927246,0.62,0.65
95,0.42491979598999025,0.6172391033172607,0.6034785175323486,0.75,0.7
96,0.39860982418060303,0.739559324979782,0.7405883073806763,0.73,0.695
97,0.4137508857250214,0.6473512768745422,0.9385856890678406,0.7,0.67
98,0.44509354114532473,0.6107783925533294,0.6431750011444092,0.71,0.705
99,0.4379888558387756,0.8197278046607971,0.8252146530151367,0.58,0.58
100,0.4318806779384613,0.572110059261322,0.6531446409225464,0.71,0.675
101,0.40101307511329654,0.6012868309020996,0.6819231128692627,0.73,0.655
102,0.39454129338264465,0.5889942920207978,0.6090899467468261,0.74,0.69
103,0.3852299982309341,0.5912447476387024,0.6361680221557617,0.75,0.695
104,0.35796624898910523,0.6438210225105285,0.7147904443740845,0.73,0.66
105,0.3428977543115616,0.5937133371829987,0.6932051801681518,0.74,0.685
106,0.35061419248580933,0.5834781301021575,0.689478588104248,0.74,0.68
107,0.35884758293628694,0.5845867371559144,0.6453233575820922,0.74,0.71
108,0.35185210466384886,0.6506402385234833,0.6967493629455567,0.74,0.705
109,0.3501439839601517,0.6081901526451111,0.6757557010650634,0.64,0.685
110,0.357640740275383,0.5946823000907898,0.6476105546951294,0.73,0.715
111,0.33642063915729525,0.6341780990362167,0.7062816524505615,0.77,0.71
112,0.3208165997266769,0.6366363251209259,0.6904968452453614,0.73,0.67
113,0.369690802693367,0.6368292760848999,0.6678856658935547,0.73,0.675
114,0.3756915271282196,0.518289030790329,0.5890293955802918,0.77,0.685
115,0.3474793428182602,0.563505744934082,0.6737007379531861,0.72,0.695
116,0.34759676218032837,0.5463407242298126,0.6426766109466553,0.76,0.695
117,0.3332298296689987,1.2086850237846374,1.2592625045776367,0.72,0.625
118,0.36171460211277007,0.561441285610199,0.6514080047607422,0.71,0.685
119,0.36826371371746064,0.5826728343963623,0.6412380790710449,0.75,0.695
120,0.3541444951295853,0.528243293762207,0.6429282331466675,0.77,0.69
121,0.3465666729211807,0.5900210857391357,0.6381370353698731,0.73,0.69
122,0.34388446390628813,0.6254236316680908,0.6660509300231934,0.74,0.69
123,0.35246600151062013,0.6418727195262909,0.7148073577880859,0.76,0.675
124,0.3568551814556122,0.5283640360832215,0.622364764213562,0.75,0.67
125,0.3458703994750977,0.5259216773509979,0.6235897445678711,0.76,0.695
126,0.30616518497467043,0.659691219329834,0.7562389421463013,0.76,0.665
127,0.3734911614656448,0.6011400961875916,0.644361081123352,0.76,0.675
128,0.3581790709495544,0.6247088408470154,0.6546184253692627,0.73,0.685
129,0.3631652373075485,0.571391544342041,0.6345319080352784,0.76,0.69
130,0.33388099193572995,0.5541501247882843,0.6372395277023315,0.74,0.67
131,0.34248923003673554,0.5928096532821655,0.6747138166427612,0.72,0.7
132,0.31922376036643985,0.6637235116958619,0.6951580095291138,0.73,0.69
133,0.3546321576833725,0.6763044095039368,0.705811128616333,0.69,0.685
134,0.36436264991760253,0.7190112972259521,0.7616101694107056,0.68,0.68
135,0.3584755945205689,0.6285746216773986,0.6733049678802491,0.71,0.635
136,0.35898132920265197,0.5620215451717376,0.6460120260715485,0.75,0.67
137,0.3534150940179825,0.5430636847019196,0.5654577016830444,0.73,0.71
138,0.37292634904384614,0.5157465171813965,0.5651137113571167,0.76,0.695
139,0.3343969666957855,0.6239749562740325,0.6846688318252564,0.71,0.645
140,0.30985402822494507,0.6587777358293533,0.7254479885101318,0.77,0.7
141,0.33566540479660034,0.5385531967878342,0.640374550819397,0.76,0.68
142,0.34854955673217775,0.5599643450975418,0.6699956893920899,0.8,0.71
143,0.3659897530078888,0.5516991674900055,0.685252332687378,0.77,0.705
144,0.34775619208812714,0.591559590101242,0.6707180452346801,0.75,0.71
145,0.3348525494337082,0.5758353447914124,0.6421046924591064,0.74,0.71
146,0.34031240820884706,0.5291873836517333,0.6536550378799438,0.76,0.675
147,0.32822819650173185,0.5436882841587066,0.5987634611129761,0.74,0.695
148,0.33197612583637237,0.6141383635997772,2.882933840751648,0.74,0.675
149,0.3373225301504135,0.7233246433734893,0.7821997547149658,0.75,0.67
150,0.3420585882663727,0.6048548007011414,0.6266773462295532,0.75,0.69
151,0.31952131748199464,0.619580066204071,0.6854393577575684,0.72,0.695
152,0.3099186778068542,0.6347829228639603,0.70849618434906,0.75,0.71
153,0.33772102057933806,0.6580777716636658,0.6589543437957763,0.73,0.695
154,0.3243165248632431,0.6024729299545288,0.638228235244751,0.77,0.685
155,0.3361465686559677,0.6016122394800186,0.6534760665893554,0.77,0.7
156,0.3260179501771927,0.5793211179971695,0.5944134759902954,0.75,0.72
157,0.30110745549201967,0.6927743577957153,0.8105900526046753,0.75,0.69
158,0.3211157149076462,0.6109281069040299,0.7369621467590332,0.77,0.69
159,0.32961373269557953,0.5325304388999939,0.5963372564315796,0.77,0.69
160,0.354495507478714,0.5460101342201233,0.5981978416442871,0.77,0.675
161,0.34874987721443174,0.647903254032135,0.739290885925293,0.76,0.68
162,0.3151167130470276,0.5948641371726989,0.7041612076759338,0.77,0.67
163,0.33746052980422975,0.6616662216186523,0.7158022618293762,0.73,0.68
164,0.3152708441019058,0.7514173245429993,0.7352795076370239,0.72,0.7
165,0.33773350656032564,0.6247714358568192,0.6880449533462525,0.74,0.69
166,0.32548283874988554,0.6927873289585114,0.7570427799224854,0.76,0.705
167,0.3576520609855652,0.7466628551483154,0.7469948053359985,0.72,0.705
168,0.3561339139938354,0.5687337923049927,0.6670282506942748,0.76,0.68
169,0.3036941474676132,0.716915283203125,0.7718944501876831,0.75,0.67
170,0.2901311331987381,0.7296071422100067,0.7647049951553345,0.7,0.68
171,0.30234984278678895,0.748212411403656,0.7328316450119019,0.71,0.675
172,0.35264548420906067,0.6847977316379548,0.7567882585525513,0.68,0.655
173,0.4476139152050018,0.630783035159111,0.639418272972107,0.68,0.69
174,0.39416305363178256,0.5509790003299713,0.6871830177307129,0.76,0.685
175,0.31810188353061675,0.6189977073669434,0.7618272495269776,0.75,0.705
