Epoch,TrainLoss,ValLoss,TestLoss,ValAcc,TestAcc
1,0.6372132468223571,0.6174862384796143,0.6145109939575195,0.62,0.635
2,0.6312281441688538,0.580196557044983,0.5651096963882446,0.67,0.67
3,0.6075712859630584,0.5766755628585816,0.549116563796997,0.68,0.715
4,0.5515154862403869,0.7199494218826294,0.7017561912536621,0.5,0.505
5,0.5657506191730499,0.5360794639587403,0.5129366493225098,0.7,0.72
6,0.5404125678539277,0.5901852786540985,0.5577444386482239,0.67,0.71
7,0.5630148112773895,0.5311893773078918,0.5141922569274903,0.76,0.725
8,0.5558334040641785,0.5527392673492432,0.5201136803627014,0.69,0.715
9,0.5491437149047852,0.5547209227085114,0.5161144065856934,0.72,0.72
10,0.5222536325454712,0.5592456030845642,0.5295028877258301,0.68,0.715
11,0.569234014749527,0.5714802646636963,0.5476107740402222,0.73,0.73
12,0.55287890791893,0.6139220309257507,0.7277634286880493,0.61,0.625
13,0.6006852388381958,0.5672887659072876,0.5905730676651001,0.76,0.715
14,0.5426874601840973,0.5067608880996705,0.489326491355896,0.71,0.735
15,0.49956361651420594,0.5122696018218994,0.47426633596420287,0.69,0.74
16,0.49408706426620486,0.5689728784561158,0.5528434228897094,0.76,0.74
17,0.4929080927371979,0.5133476078510284,0.4831238317489624,0.7,0.715
18,0.4829020237922668,0.5737787139415741,0.543170063495636,0.73,0.755
19,0.4888143718242645,0.587277307510376,0.5522192358970642,0.64,0.665
20,0.55332244515419,0.6401035439968109,0.6368987870216369,0.65,0.675
21,0.48625496387481687,0.6160196113586426,0.6063022994995118,0.68,0.7
22,0.5069796633720398,0.5271404421329499,0.5219845533370971,0.72,0.7
23,0.45311680555343625,0.5043718194961548,0.5050557160377502,0.72,0.725
24,0.47616845726966855,0.5201719975471497,0.5117962193489075,0.71,0.75
25,0.5039688086509705,0.5501375460624695,0.5526223635673523,0.73,0.73
26,0.49294513463974,0.5769718635082245,0.5663459348678589,0.72,0.735
27,0.5038886344432831,0.49903438091278074,0.5148018908500671,0.77,0.73
28,0.4814827597141266,0.5208524358272553,0.5317576956748963,0.76,0.735
29,0.4907453501224518,0.5176863169670105,0.4970900821685791,0.75,0.735
30,0.4741038048267365,0.5519904267787933,0.5492149543762207,0.72,0.715
31,0.4546760594844818,0.4981529438495636,0.49423168897628783,0.76,0.74
32,0.4445819675922394,0.5911100876331329,0.5699601078033447,0.62,0.67
33,0.45037456035614015,0.505255241394043,0.48397776365280154,0.7,0.745
34,0.45205806732177733,0.5325444066524505,0.5284086847305298,0.75,0.74
35,0.4529496681690216,0.5473283410072327,0.5257483530044555,0.68,0.715
36,0.4711016476154327,0.521960391998291,0.5258244323730469,0.73,0.71
37,0.4472532081604004,0.5522901666164398,0.5176935768127442,0.69,0.715
38,0.45468086838722227,0.6031978964805603,0.5595756053924561,0.64,0.695
39,0.4342110311985016,0.5975330078601837,0.5641755390167237,0.6,0.63
